excel_row	sku	model	sector
305	REH-00-07-00	CONJUNTO DE REHABILITACIÓN B	Gimnasios funcionales
306	REH-00-08-00	CONJUNTO DE REHABILITACIÓN A	Gimnasios funcionales
307	DEP-MO-01-00	2 BANCAS DE ARBITROS CON TECHUMBRE	Zonas deportivas
308	DEP-MO-02-00	11 BANCAS DE JUGADORES CON TECHUMBRE	Zonas deportivas
309	DEP-MO-04-00	GRADAS 5 ASIENTOS Y 4 DESCANSA PIES	Zonas deportivas
310	DEP-MO-03-00	GRADAS TECHADAS 5 ASIENTOS Y 4 DESCANSA PIES	Zonas deportivas
311	DEP-00-06-00	TABLERO DE BÁSQUETBOL	Zonas deportivas
312	DEP-00-07-00	PORTERIA CON TABLERO DE BÁSQUETBOL	Zonas deportivas
313	DEP-00-11-00	RED Y 2 POSTES DE VOLEIBOL	Zonas deportivas
314	DEP-00-09-00	PORTERIA FÚTBOL RAPIDO	Zonas deportivas
315	DEP-00-10-00	PORTERIA DE FÚTBOL PROFESIONAL	Zonas deportivas
316	DEP-00-12-00	CANCHA CIRCULAR DE FUTBOL RAPIDO	Zonas deportivas
317	DEP-MO-05-00	MESA DE AJEDREZ	Zonas deportivas
318	CAN-PL-01-00	TUNEL CANINO	Áreas caninas
319	CAN-PL-02-00	AROS CANINO	Áreas caninas
320	CAN-PL-03-00	SALTO ARO CANINO	Áreas caninas
321	CAN-PL-12-00	RAMPA CANINA	Áreas caninas
322	CAN-PL-15-00	BEBEDERO CANINO	Áreas caninas
323	CAN-PL-05-00	SALTO DOBLE CANINO	Áreas caninas
324	CAN-PL-06-00	VALLAS CANINO	Áreas caninas
325	CAN-PL-07-00	BANCA DE HUESO CANINO	Áreas caninas
326	CAN-00-02-00	SLALOM CANINO	Áreas caninas
327	CAN-PM-01-00	PASARELA CANINO	Áreas caninas
328	CAN-PL-08-00	GRADAS CANINO	Áreas caninas
329	CAN-PL-09-00	MINI RAMPA CANINO	Áreas caninas
330	CAN-PL-10-00	BALANCIN CANINO	Áreas caninas
331	CAN-00-03-00	GRUA CANINA	Áreas caninas
332	CAN-PL-11-00	MESA CANINA	Áreas caninas
333	CAN-PP-01-00	POSTE DE BOLSAS CON BASURERO CANINO	Áreas caninas
334	JAM-119	AQUA JUM1	Zonas acuáticas
335	JAM-219	AQUA JUM2	Zonas acuáticas
336	JAM-319	AQUA JUM3	Zonas acuáticas
337	JAM-2419	AQUA JUM4	Zonas acuáticas
338	JAM-519	AQUA JUM5	Zonas acuáticas
339	JAI-419	ARCO SPRAY	Zonas acuáticas
340	JAI-519	BOLARDO SPRAY	Zonas acuáticas
341	JAI-619	SPRAY S	Zonas acuáticas
342	JAI-819	PALMERA LLUVIA	Zonas acuáticas
343	JAI-919	SOMBRILLA LLUVIA	Zonas acuáticas
344	JAI-719	PULPO SPRAY	Zonas acuáticas
345	JAI-219	CAÑON DE AGUA	Zonas acuáticas
346	JAI-319	CUBETA DE VOLTEO	Zonas acuáticas
