source_sku	source_model	commercial_sector	resolution_type	canonical_sku	canonical_product_id	canonical_status	canonical_name	confidence	evidence
IRE-PL-08-00	MONTABLE DELFIN	Escuelas y colegios	direct_sku	IRE-PL-08-00	7000	publish	MONTABLE DELFIN	exact_sku	production_sku
IRE-PL-10-00	MONTABLE DINO	Escuelas y colegios	direct_sku	IRE-PL-10-00	28410	publish	MONTABLE DINO	exact_sku	production_sku
IRE-PL-11-00	MONTABLE NESSY	Escuelas y colegios	direct_sku	IRE-PL-11-00	28409	publish	MONTABLE NESSY	exact_sku	production_sku
GIR-00-01-00	GIRATORIO ORBIT S	Juegos de exterior	direct_sku	GIR-00-01-00	6972	publish	GIRATORIO ORBIT S	exact_sku	production_sku
GIR-PL-03-00	GIRATORIO ODÍN	Centro Comercial, Restaurantes y Hoteles	direct_sku	GIR-PL-03-00	32097	publish	GIRATORIO ODÍN	exact_sku	production_sku
GIR-PL-04-00	GIRATORIO SAGA	Centro Comercial, Restaurantes y Hoteles	direct_sku	GIR-PL-04-00	32099	publish	GIRATORIO SAGA	exact_sku	production_sku
RES-00-01-00	RESBALADILLA LAM DE 2.40MT	Escuelas y colegios	direct_sku	RES-00-01-00	7012	publish	RESBALADILLA LAM DE 2.40MT	exact_sku	production_sku
RES-00-02-00	RESBALADILLA LAMINA DE 3MT	Juegos de exterior	direct_sku	RES-00-02-00	7014	publish	RESBALADILLA LAMINA DE 3MT	exact_sku	production_sku
RES-PP-01-00	RESBALADILLA OLAS DE PLASTICO	Residenciales y fraccionamientos	direct_sku	RES-PP-01-00	7017	publish	RESBALADILLA OLAS DE PLASTICO	exact_sku	production_sku
RES-PL-04-00	RESBALADILLA RACER	Residenciales y fraccionamientos	direct_sku	RES-PL-04-00	7009	publish	RESBALADILLA RACER	exact_sku	production_sku
RES-PP-01-01	RESBALADILLA TRIPLE OLAS DE PLASTICO	Escuelas y colegios	direct_sku	RES-PP-01-01	7466	publish	RESBALADILLA TRIPLE OLAS DE PLASTICO	exact_sku	production_sku
SUB-00-01-00	SUBE Y BAJA SENCILLO	Escuelas y colegios	direct_sku	SUB-00-01-00	7047	publish	SUBE Y BAJA SENCILLO	exact_sku	production_sku
SUB-00-01-01	SUBE Y BAJA DOBLE	Residenciales y fraccionamientos	direct_sku	SUB-00-01-01	7039	publish	SUBE Y BAJA DOBLE	exact_sku	production_sku
SUB-00-01-02	SUBE Y BAJA TRIPLE	Juegos de exterior	direct_sku	SUB-00-01-02	7043	publish	SUBE Y BAJA TRIPLE	exact_sku	production_sku
SUB-00-02-01	SUBE Y BAJA PULPO	Juegos de exterior	direct_sku	SUB-00-02-01	7060	publish	SUBE Y BAJA PULPO	exact_sku	production_sku
SUB-00-02-02	SUBE Y BAJA PULPO TRIPLE	Juegos de exterior	direct_sku	SUB-00-02-02	7066	publish	SUBE Y BAJA PULPO TRIPLE	exact_sku	production_sku
SUB-PL-01-00	SUBE Y BAJA BALLENA	Escuelas y colegios	direct_sku	SUB-PL-01-00	7065	publish	SUBE Y BAJA BALLENA	exact_sku	production_sku
SUB-IN-02-00	SUBE Y BAJA PARA SILLA DE RUEDAS	Juegos inclusivos	direct_sku	SUB-IN-02-00	22329	publish	SUBE Y BAJA PARA SILLA DE RUEDAS	exact_sku	production_sku
EOS-IN-01-00	MODULO MILWUAKEE INCLUSIVO	Juegos inclusivos	direct_sku	EOS-IN-01-00	7124	publish	Juego MILWUAKEE INCLUSIVO	exact_sku	production_sku
