product_id	product_sku	product_name	product_status	spec_key	spec_label	value_text	value_1	value_2	unit	source	source_confidence	ordinal	raw_label	raw_value
6210	BOT-LP-03-00	BOTE GRIJALVA	publish	width	Ancho	0.40 m	0.40		m	post_excerpt	high	2	Ancho	0.40 m
6210	BOT-LP-03-00	BOTE GRIJALVA	publish	height	Alto	1.00 m	1.00		m	post_excerpt	high	3	Alto	1.00 m
6210	BOT-LP-03-00	BOTE GRIJALVA	publish	capacity	Capacidad	70 personas	70		persona	post_excerpt	high	4	Capacidad	70 L
6210	BOT-LP-03-00	BOTE GRIJALVA	publish	materials	Material	Metal				post_excerpt	high	5	Material	Metal
6218	BOT-00-03-00	BOTE MOSCOVA	publish	length	Largo	0.40 m	0.40		m	post_excerpt	high	1	Largo	0.40 m
6218	BOT-00-03-00	BOTE MOSCOVA	publish	width	Ancho	0.40 m	0.40		m	post_excerpt	high	2	Ancho	0.40 m
6218	BOT-00-03-00	BOTE MOSCOVA	publish	height	Alto	1.15 m	1.15		m	post_excerpt	high	3	Alto	1.15 m
6218	BOT-00-03-00	BOTE MOSCOVA	publish	capacity	Capacidad	65 personas	65		persona	post_excerpt	high	4	Capacidad	65 L
6218	BOT-00-03-00	BOTE MOSCOVA	publish	materials	Material	Metal				post_excerpt	high	5	Material	Metal
6220	EJE-ID-03-00	EJERCITADOR BARRAS PARALELAS CURVAS	publish	length	Largo	2.60 m	2.60		m	post_excerpt	high	1	Largo	2.60 m
6220	EJE-ID-03-00	EJERCITADOR BARRAS PARALELAS CURVAS	publish	width	Ancho	0.75 m	0.75		m	post_excerpt	high	2	Ancho	0.75 m
6220	EJE-ID-03-00	EJERCITADOR BARRAS PARALELAS CURVAS	publish	height	Alto	1.10 m	1.10		m	post_excerpt	high	3	Alto	1.10 m
6220	EJE-ID-03-00	EJERCITADOR BARRAS PARALELAS CURVAS	publish	minimum_area	Área mínima	4.60 m × 1.75 m	4.60	1.75	m	post_excerpt	high	4	Área mínima	4.60 m X 1.75 m
6220	EJE-ID-03-00	EJERCITADOR BARRAS PARALELAS CURVAS	publish	capacity	Capacidad	2 personas	2		persona	post_excerpt	high	5	Capacidad	2 personas
6230	BOT-LP-02-00	BOTE OKA	publish	length	Largo	0.50 m	0.50		m	post_excerpt	high	1	Largo	0.50 m
6230	BOT-LP-02-00	BOTE OKA	publish	width	Ancho	0.35 m	0.35		m	post_excerpt	high	2	Ancho	0.35 m
6230	BOT-LP-02-00	BOTE OKA	publish	height	Alto	0.90 m	0.90		m	post_excerpt	high	3	Alto	0.90 m
